Date,Open,High,Low,Close,Adj Close,Volume
2022-02-10,481000.0,483726.0,478000.0,480105.0,480105.0,1800
2022-02-11,481068.0,484850.0,476886.0,479370.0,479370.0,1600
2022-02-14,479208.0,481054.0,468563.0,472410.0,472410.0,2200
2022-02-15,475390.0,476980.0,472456.0,473980.0,473980.0,1500
2022-02-16,472983.0,475780.0,471401.0,474444.0,474444.0,1300
2022-02-17,474829.0,474829.0,469182.0,470655.0,470655.0,1400
2022-02-18,471528.0,473920.0,469091.0,472257.0,472257.0,1500
2022-02-22,470733.0,473460.0,466257.0,471418.0,471418.0,2400
2022-02-23,474975.0,475989.0,464400.0,465515.0,465515.0,1700
2022-02-24,452928.0,463490.0,450000.0,462110.0,462110.0,2800
2022-02-25,467598.0,482579.0,465326.0,479345.0,479345.0,2200
2022-02-28,476700.0,483638.0,473930.0,476205.0,476205.0,2400
2022-03-01,482000.0,482151.0,470645.0,475879.0,475879.0,1800
2022-03-02,479175.0,488765.0,477091.0,486109.0,486109.0,1600
2022-03-03,490797.0,494420.0,485855.0,491245.0,491245.0,1900
2022-03-04,485375.0,488298.0,480341.0,487440.0,487440.0,2000
2022-03-07,491039.0,492059.0,480888.0,484527.0,484527.0,2400
2022-03-08,486690.0,491500.0,476921.0,478025.0,478025.0,2000
2022-03-09,491339.0,491550.0,484184.0,488245.0,488245.0,1700
2022-03-10,484252.0,490800.0,482520.0,487820.0,487820.0,1600
2022-03-11,490155.0,497333.0,488551.0,489802.0,489802.0,1800
2022-03-14,493988.0,500023.0,491947.0,493785.0,493785.0,2900
2022-03-15,498673.0,501939.0,494023.0,498160.0,498160.0,2600
2022-03-16,502201.0,506029.0,497613.0,504036.0,504036.0,2500
2022-03-17,505385.0,518438.0,503641.0,518438.0,518438.0,2900
2022-03-18,515731.0,520654.0,508853.0,512991.0,512991.0,3500
2022-03-21,517231.0,526733.0,515970.0,525000.0,525000.0,3300
2022-03-22,526201.0,532530.0,523500.0,525854.0,525854.0,3700
2022-03-23,523066.0,528015.0,519151.0,521781.0,521781.0,3000
2022-03-24,528414.0,528817.0,523778.0,528817.0,528817.0,2100
2022-03-25,531088.0,538949.0,529981.0,538949.0,538949.0,2600
2022-03-28,540913.0,544000.0,533345.0,539180.0,539180.0,3800
2022-03-29,544389.0,544389.0,528750.0,532011.0,532011.0,3700
2022-03-30,531305.0,537371.0,527650.0,536440.0,536440.0,2300
2022-03-31,538660.0,540420.0,528921.0,528921.0,528921.0,2300
2022-04-01,530026.0,533139.0,523662.0,527760.0,527760.0,2600
2022-04-04,529375.0,532029.0,516593.0,518714.0,518714.0,4000
2022-04-05,520074.0,524425.0,516000.0,516000.0,516000.0,2400
2022-04-06,511475.0,520369.0,510241.0,517002.0,517002.0,2100
2022-04-07,519111.0,521855.0,513905.0,519760.0,519760.0,2000
2022-04-08,524139.0,531040.0,520276.0,529000.0,529000.0,2100
2022-04-11,528413.0,531880.0,524086.0,527590.0,527590.0,2400
2022-04-12,529165.0,531000.0,522693.0,524271.0,524271.0,2100
2022-04-13,524135.0,525900.0,517973.0,519800.0,519800.0,2000
2022-04-14,519163.0,521674.0,516435.0,516435.0,516435.0,1600
2022-04-18,516774.0,521019.0,514600.0,519499.0,519499.0,3300
2022-04-19,522339.0,524208.0,519001.0,523260.0,523260.0,4200
2022-04-20,525288.0,526699.0,521000.0,522901.0,522901.0,4500
2022-04-21,524394.0,526900.0,515000.0,515815.0,515815.0,3900
2022-04-22,515050.0,517444.0,504514.0,505440.0,505440.0,3500
2022-04-25,501835.0,509650.0,495150.0,506200.0,506200.0,4300
2022-04-26,506789.0,507419.0,497777.0,497777.0,497777.0,2800
2022-04-27,498093.0,502799.0,495069.0,496800.0,496800.0,2500
2022-04-28,497010.0,502329.0,494335.0,499000.0,499000.0,2700
2022-04-29,495206.0,500000.0,484340.0,484340.0,484340.0,3100
2022-05-02,485921.0,492125.0,470692.0,478150.0,478150.0,4100
2022-05-03,480541.0,487713.0,478150.0,481198.0,481198.0,2400
2022-05-04,486664.0,494343.0,477712.0,494343.0,494343.0,2400
2022-05-05,487900.0,493850.0,476748.0,481400.0,481400.0,2900
2022-05-06,482864.0,483795.0,475000.0,479500.0,479500.0,2500
2022-05-09,477825.0,478000.0,468902.0,471200.0,471200.0,3300
2022-05-10,478465.0,478750.0,466052.0,469780.0,469780.0,2400
2022-05-11,474535.0,476600.0,466725.0,468000.0,468000.0,2300
2022-05-12,460431.0,464845.0,454670.0,461631.0,461631.0,3000
2022-05-13,466106.0,469144.0,462327.0,465011.0,465011.0,2400
2022-05-16,465135.0,468058.0,461007.0,464250.0,464250.0,1800
2022-05-17,470771.0,478709.0,468331.0,471670.0,471670.0,2200
2022-05-18,471053.0,473285.0,458620.0,461000.0,461000.0,2500
2022-05-19,457940.0,459694.0,452000.0,456031.0,456031.0,3300
2022-05-20,462425.0,462425.0,448108.0,456500.0,456500.0,2400
2022-05-23,462639.0,469080.0,459371.0,464510.0,464510.0,2300
2022-05-24,465580.0,465580.0,455721.0,463606.0,463606.0,1900
2022-05-25,462230.0,466541.0,459141.0,462890.0,462890.0,1700
2022-05-26,465146.0,471602.0,464951.0,468805.0,468805.0,1800
2022-05-27,472795.0,478670.0,470021.0,478670.0,478670.0,1900
2022-05-31,477890.0,479309.0,472110.0,474050.0,474050.0,2900
2022-06-01,476594.0,476594.0,464900.0,469620.0,469620.0,2100
2022-06-02,472134.0,472886.0,463312.0,472710.0,472710.0,2100
2022-06-03,469925.0,471789.0,465850.0,467650.0,467650.0,1900
2022-06-06,472900.0,473900.0,467632.0,468400.0,468400.0,2000
2022-06-07,467650.0,471500.0,464551.0,471500.0,471500.0,1800
2022-06-08,472090.0,472090.0,462301.0,463300.0,463300.0,2100
2022-06-09,464275.0,464275.0,451757.0,452260.0,452260.0,2000
2022-06-10,448000.0,448500.0,439005.0,439780.0,439780.0,2700
2022-06-13,432489.0,433869.0,422438.0,423700.0,423700.0,3200
2022-06-14,421651.0,428220.0,414200.0,415500.0,415500.0,2300
2022-06-15,423688.0,426715.0,411427.0,418600.0,418600.0,2200
2022-06-16,413375.0,413375.0,400669.0,403971.0,403971.0,2800
2022-06-17,406209.0,406209.0,399022.0,403150.0,403150.0,2200
2022-06-21,412749.0,412749.0,405700.0,407800.0,407800.0,2700
2022-06-22,402568.0,410483.0,400741.0,405649.0,405649.0,1900
2022-06-23,406413.0,408499.0,396500.0,402300.0,402300.0,2600
2022-06-24,405489.0,419859.0,402550.0,417401.0,417401.0,2100
2022-06-27,423279.0,424085.0,416750.0,417700.0,417700.0,2400
2022-06-28,421977.0,423728.0,411287.0,412170.0,412170.0,1900
2022-06-29,415239.0,415239.0,410000.0,411050.0,411050.0,1600
2022-06-30,407634.0,412869.0,403567.0,408950.0,408950.0,1700
2022-07-01,407700.0,417869.0,407700.0,415850.0,415850.0,1700
2022-07-05,414924.0,414924.0,407993.0,413844.0,413844.0,2600
2022-07-06,415539.0,416500.0,409661.0,414148.0,414148.0,1700
2022-07-07,416843.0,419825.0,415832.0,419200.0,419200.0,2000
2022-07-08,421258.0,424200.0,418977.0,421800.0,421800.0,2000
2022-07-11,420824.0,422550.0,417250.0,417900.0,417900.0,2500
2022-07-12,415405.0,423700.0,415405.0,416449.0,416449.0,1700
2022-07-13,413910.0,420795.0,411385.0,417250.0,417250.0,1800
2022-07-14,412499.0,413500.0,407734.0,412600.0,412600.0,2000
2022-07-15,416157.0,420500.0,414694.0,418349.0,418349.0,1700
2022-07-18,423459.0,423625.0,412864.0,414450.0,414450.0,2800
2022-07-19,421539.0,426598.0,417309.0,425110.0,425110.0,2200
2022-07-20,425260.0,430059.0,425260.0,429200.0,429200.0,2200
2022-07-21,432039.0,432789.0,423600.0,430900.0,430900.0,2300
2022-07-22,434424.0,434808.0,425911.0,429562.0,429562.0,2000
2022-07-25,432249.0,434030.0,428185.0,432579.0,432579.0,2500
2022-07-26,431963.0,433733.0,427415.0,428644.0,428644.0,1900
2022-07-27,431500.0,437783.0,429290.0,436100.0,436100.0,1900
2022-07-28,436773.0,442000.0,430815.0,442000.0,442000.0,2200
2022-07-29,446035.0,453985.0,443617.0,451700.0,451700.0,2900
2022-08-01,451989.0,451989.0,443000.0,444650.0,444650.0,3400
2022-08-02,445734.0,445734.0,438650.0,439180.0,439180.0,2300
2022-08-03,443964.0,444851.0,437005.0,443450.0,443450.0,2600
2022-08-04,444294.0,445200.0,440875.0,442149.0,442149.0,2600
2022-08-05,438635.0,443384.0,436510.0,439529.0,439529.0,2300
2022-08-08,445259.0,450000.0,439010.0,439167.0,439167.0,3100
2022-08-09,441378.0,447370.0,438665.0,440058.0,440058.0,2200
2022-08-10,445300.0,446904.0,441500.0,442800.0,442800.0,2300
2022-08-11,448839.0,448869.0,444701.0,445302.0,445302.0,2300
2022-08-12,448193.0,453059.0,446132.0,452697.0,452697.0,2400
2022-08-15,450929.0,456992.0,446866.0,455170.0,455170.0,3100
2022-08-16,459224.0,463000.0,456000.0,461300.0,461300.0,2700
2022-08-17,459959.0,461269.0,454105.0,457277.0,457277.0,2500
2022-08-18,458178.0,458178.0,453347.0,457400.0,457400.0,2200
2022-08-19,457004.0,457004.0,446512.0,447155.0,447155.0,2600
2022-08-22,444239.0,444239.0,432452.0,433650.0,433650.0,3600
2022-08-23,436408.0,438274.0,432739.0,435730.0,435730.0,2200
2022-08-24,436625.0,442318.0,435010.0,442210.0,442210.0,2200
2022-08-25,444694.0,448000.0,440222.0,448000.0,448000.0,2200
2022-08-26,448973.0,450868.0,435770.0,436201.0,436201.0,2500
2022-08-29,435064.0,435803.0,429487.0,433300.0,433300.0,3200
2022-08-30,436039.0,436594.0,428122.0,429700.0,429700.0,2200
2022-08-31,431745.0,433325.0,421308.0,421308.0,421308.0,2500
2022-09-01,421000.0,424907.0,416882.0,424290.0,424290.0,2500
2022-09-02,429439.0,429439.0,415362.0,417940.0,417940.0,2600
2022-09-06,419989.0,420248.0,414285.0,416860.0,416860.0,3300
2022-09-07,417000.0,423246.0,412675.0,422047.0,422047.0,2100
2022-09-08,420723.0,426850.0,416794.0,426850.0,426850.0,2100
2022-09-09,428918.0,431348.0,426000.0,429819.0,429819.0,2300
2022-09-12,432133.0,434577.0,429671.0,433062.0,433062.0,3000
2022-09-13,427939.0,428446.0,417599.0,418700.0,418700.0,2900
2022-09-14,419878.0,421200.0,414247.0,420500.0,420500.0,2700
